Start Time	End Time	Text
00:03:29.780	00:03:35.740	 It's not what you expect to see you're like, oh, that's weird. That's a little bit weird
00:03:35.740	00:03:40.620	 I'm going to show you something that I think is a little bit weird if you look over here
00:03:40.900	00:03:45.340	 There is a spot where you can charge an electric vehicle
00:03:45.740	00:03:55.340	 But what's kind of weird is it's in an alley so you can I'm not even sure how you would get your car into this little spot and then if you look over here
00:03:56.620	00:04:03.580	 I don't even see a place where you can plug in your electric vehicle like normally there would be some sort of
00:04:03.780	00:04:09.659	 Charging station so whenever I see this whenever I'm in this town and I walk by this area
00:04:09.659	00:04:14.060	 And I see this electric car charging area. I think that's weird
00:04:14.740	00:04:21.860	 So I came to the town of Grimsby, Ontario today to make this English lesson and there's a lot more traffic than I expected
00:04:21.860	00:04:23.860	 I think this is a bit out of the ordinary
00:04:23.860	00:04:26.779	 It's one o'clock in the afternoon on a Monday
00:04:26.779	00:04:30.540	 I didn't expect to see so many cars driving down the road
00:04:30.540	00:04:35.699	 I think it's a little bit out of the ordinary in English when we say something is out of the ordinary
00:04:35.699	00:04:42.979	 It's different than how it normally is. I would think that normally this town is very quiet on a Monday afternoon
00:04:42.979	00:04:46.139	 That there is very little traffic, but it seems to me
00:04:46.620	00:04:50.500	 Like there's almost a bit of a traffic jam if you look down the road
00:04:50.699	00:04:55.419	 There's this huge row of cars. I know the cars aren't flying by really quickly
00:04:55.419	00:04:58.539	 But I think this is definitely out of the ordinary
00:04:58.539	00:05:04.180	 I think normally on a Monday afternoon it would be very quiet and there would be very little traffic
00:05:04.540	00:05:09.060	 So behind me you can see our local hospital and I would say this
00:05:09.459	00:05:12.340	 Doctors and nurses work wacky hours
00:05:12.780	00:05:18.379	 When you use the word wacky in English you're describing something that is very abnormal
00:05:18.579	00:05:20.579	 Did I teach the word abnormal yet?
00:05:21.180	00:05:28.100	 Abnormal is the opposite of normal, but doctors and nurses work wacky hours. They work during the day
00:05:28.100	00:05:32.660	 They work at night. They work in the evening. They work early in the morning
00:05:33.060	00:05:41.700	 Most people have normal hours. Most people work from 8 to 5 or 7 to 4 or if you have a long day maybe 7 to 5
00:05:42.300	00:05:48.300	 But doctors and nurses definitely work wacky hours. By the way, we're getting a
00:05:48.700	00:05:55.940	 New hospital. They're slowly building a new hospital. The old one is in front here and the new one is
00:05:56.500	00:06:01.480	 just a bit to there about halfway done the new hospital. It's pretty cool
00:06:02.000	00:06:05.500	 Then the doctors and nurses could work wacky hours in that hospital
00:06:06.439	00:06:11.360	 Sometimes we just say something is strange if you look at this tree behind me
00:06:11.560	00:06:19.160	 You can see that it has all of its leaves on it still and that's a little bit strange for this time of year
00:06:19.840	00:06:26.000	 Normally at this point in the fall you don't see leaves on the trees usually
00:06:26.319	00:06:31.080	 They're all on the ground now. There's a lot of leaves on the ground. That's pretty normal
00:06:31.159	00:06:36.479	 But it certainly is strange that this tree still has all its leaves
00:06:37.359	00:06:43.240	 It's also a bit strange that the lake doesn't have a little bit of ice on it yet if we walk over here
00:06:43.560	00:06:47.360	 We're by Lake Ontario. It's a little bit strange
00:06:47.879	00:06:53.120	 Normally the lake isn't frozen over but normally at this time of year
00:06:53.399	00:06:57.479	 There's a little bit of ice along the shore just a tiny bit
00:06:57.720	00:07:04.160	 There's probably going to be people from this area who say there's never ice on the lake at this time in November
00:07:04.160	00:07:06.840	 But for me on November 25th
00:07:06.840	00:07:13.080	 I think it's strange that there's not a little bit of ice there and it's definitely strange that that tree
00:07:13.560	00:07:15.560	 Has all its leaves on it still
00:07:16.200	00:07:19.960	 Well, hey, thank you for watching this English lesson about
00:07:20.520	00:07:26.480	 Things that are not normal or how to describe things that are not normal if this is your first time here
00:07:26.480	00:07:30.160	 Don't forget to click that red subscribe button. I think it's over there somewhere
00:07:30.879	00:07:35.960	 Leave a comment below give me a thumbs up if this English lesson helped you learn a little bit more English and
00:07:36.280	00:07:38.879	 I'll see you next week with another English lesson. Bye
